team,city,lat,lon
Amur Khabarovsk,Khabarovsk,48.4647404,135.0592214
Atlant Mytishi,Mytishchi,55.9319159,37.7491565
Avangard Omsk,Omsk,55.125303,73.3787341
Bars Kazan,Kazan,55.7708487,49.1009157
Barys Nur-Sultan,Nur-Sultan,51.1758933,71.5048163
CSKA Moscow,Moscow,55.7245396,37.6289649
Cherepovets,Cherepovets,59.1268272,37.8614962
Din. Minsk,Minsk,53.8828183,27.7269822
Dinamo Riga,Riga,56.9716638,24.128607
Donbass,Donetsk,47.9826086,37.7621125
Dyn. Moscow,Moscow,55.7245396,37.6289649
HC Lev,Prague,50.0596654,14.4656111
HC Yugra,Khanty-Mansiysk,61.005006,69.0743667
Jokerit,Helsinki,60.1101678,25.0186571
Khimik,Voskresensk,55.307086,38.7126392
Kunlun,Beijing,40.2505848,116.4625969
Lada,Tolyatti,53.5218076,49.4846842
Lev Prague,Prague,50.0596654,14.4656111
Lokomotiv Yaroslavl,Yaroslavl,57.6499336,39.8671487
MVD Balashikha,Balashikha,55.7850766,37.9837852
Medvescak Zagreb,Zagreb,45.8420266,15.964427
Metallurg Magnitogorsk,Magnitogorsk,53.4155333,59.0524949
Metallurg Novokuznetsk,Novokuznetsk,53.794309,87.1550843
Nizhny Novgorod,Nizhny Novgorod,56.2950165,43.9195023
Niznekamsk,Nizhnekamsk,55.6198172,51.8433762
Podolsk,Podolsk,55.3928133,37.5398555
SKA St. Petersburg,Saint Petersburg,59.9174424,30.3052544
Salavat Ufa,Ufa,54.7303136,56.0385844
Sibir Novosibirsk,Novosibirsk,55.0001801,82.9556798
Slovan Bratislava,Bratislava,48.1362158,17.1029616
Sochi,Sochi,43.7129741,39.5799515
Sp. Moscow,Moscow,55.7245396,37.6289649
Tractor Chelyabinsk,Chelyabinsk,55.1558729,61.3675998
Vladivostok,Vladivostok,43.1737565,132.0391438
Yekaterinburg,Yekaterinburg,56.8216434,60.6214031
